filename,original_path,output_path
bbd94cce-d087-49e0-a7b7-ba787df47de7_content_list.json,C:\Projects\File_Util_App\9Round_Franchising_LLC_FDD_2024_ID636440.pdf-a8429847-13bc-4dc6-95a6-d41569e2eb3f\bbd94cce-d087-49e0-a7b7-ba787df47de7_content_list.json,c:\Projects\File_Util_App\data\processed_outputs\bbd94cce-d087-49e0-a7b7-ba787df47de7_analysis_result.json
a7904961-af54-4dc3-bd37-8353707bfd00_content_list.json,C:\Users\mille\MinerU\1-800-GOT-JUNK_LLC_FDD_2024_ID636836.pdf-a48d2451-30cd-496f-b76e-a6344425fb7e\a7904961-af54-4dc3-bd37-8353707bfd00_content_list.json,c:\Projects\File_Util_App\data\processed_outputs\a7904961-af54-4dc3-bd37-8353707bfd00_analysis_result.json
98d9f7f1-bf96-4139-9045-c57ce66d7d31_content_list.json,C:\Users\mille\MinerU\1-800-RADIATOR_FRANCHISOR_SPV_LLC_FDD_2024_ID636911.pdf-e29cea0e-e7af-4326-8862-b0335d4e0041\98d9f7f1-bf96-4139-9045-c57ce66d7d31_content_list.json,c:\Projects\File_Util_App\data\processed_outputs\98d9f7f1-bf96-4139-9045-c57ce66d7d31_analysis_result.json
a69d74b5-41ab-4299-9786-81cff2f7396f_content_list.json,C:\Users\mille\MinerU\1-800-Services_LLC_FDD_2024_ID636683.pdf-57ab6571-9b54-45a2-a967-cf310fdb7341\a69d74b5-41ab-4299-9786-81cff2f7396f_content_list.json,c:\Projects\File_Util_App\data\processed_outputs\a69d74b5-41ab-4299-9786-81cff2f7396f_analysis_result.json
d132f306-5148-458b-b2e2-c90049e4b343_content_list.json,C:\Users\mille\MinerU\101_Mobility_Franchise_Systems_LLC_FDD_2024_ID637227.pdf-167050c4-e06c-4bc7-a11b-5a047848b739\d132f306-5148-458b-b2e2-c90049e4b343_content_list.json,c:\Projects\File_Util_App\data\processed_outputs\d132f306-5148-458b-b2e2-c90049e4b343_analysis_result.json
98fef125-ad32-49a0-aa88-8594629ed018_content_list.json,C:\Users\mille\MinerU\1073355_Ontario_Limited_FDD_2024_ID637208.pdf-2391cfc0-7c4b-41aa-94ce-82e754f1482e\98fef125-ad32-49a0-aa88-8594629ed018_content_list.json,c:\Projects\File_Util_App\data\processed_outputs\98fef125-ad32-49a0-aa88-8594629ed018_analysis_result.json
39820709-6a02-4c1f-bd6e-960b9c7be59c_content_list.json,C:\Users\mille\MinerU\16_Handles_Franchising_LLC_FDD_2024_ID635830.pdf-033155dd-8238-47c5-877e-495069028670\39820709-6a02-4c1f-bd6e-960b9c7be59c_content_list.json,c:\Projects\File_Util_App\data\processed_outputs\39820709-6a02-4c1f-bd6e-960b9c7be59c_analysis_result.json
8d4b5785-cbbc-476e-ae69-74392d9522bb_content_list.json,C:\Users\mille\MinerU\1800Packouts_Franchise_LLC_FDD_2024_ID635990.pdf-23d4f4e5-bd54-41a3-8fcc-6c4e1aac3095\8d4b5785-cbbc-476e-ae69-74392d9522bb_content_list.json,c:\Projects\File_Util_App\data\processed_outputs\8d4b5785-cbbc-476e-ae69-74392d9522bb_analysis_result.json
daa11f2b-4b2c-45e5-8df6-241028627c28_content_list.json,C:\Users\mille\MinerU\1HCS_Franchising_LLC_FDD_2024_ID636856.pdf-d74c2d86-608d-46d4-a2ff-f12de83a1652\daa11f2b-4b2c-45e5-8df6-241028627c28_content_list.json,c:\Projects\File_Util_App\data\processed_outputs\daa11f2b-4b2c-45e5-8df6-241028627c28_analysis_result.json
4e78c72f-a16f-4602-a225-579db1188a98_content_list.json,C:\Users\mille\MinerU\1st_Class_Franchising_LLC_FDD_2024_ID.pdf-aae33f80-7c27-44b7-8906-695f93561c61\4e78c72f-a16f-4602-a225-579db1188a98_content_list.json,c:\Projects\File_Util_App\data\processed_outputs\4e78c72f-a16f-4602-a225-579db1188a98_analysis_result.json
87ccc3e0-1d23-4a8c-bebd-e651e3bcde5c_content_list.json,C:\Users\mille\MinerU\1_800_FLOWERSCOM_FRANCHISE_CO_INC_FDD_2024_ID637375.pdf-93986b5a-9a04-4740-a612-fc1a909e2988\87ccc3e0-1d23-4a8c-bebd-e651e3bcde5c_content_list.json,c:\Projects\File_Util_App\data\processed_outputs\87ccc3e0-1d23-4a8c-bebd-e651e3bcde5c_analysis_result.json
